filial;op;recurso;operacao;integrado;produto;producao;retrabalho;segundos;situacao;situDesc;criacao;aponta
108;03943601001;PAL03;30;0;PAN01063;2691.7800;0;23838;10;Produção;27/03/2023;21/08/2023
108;03943601001;PAL03;30;0;PAN01063;1879.3320;0;20319;10;Produção;27/03/2023;20/09/2023
108;03945901001;HA;30;0;PAN01205;0.3750;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.4500;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2750;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2500;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.4000;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3250;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3500;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3750;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1750;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2750;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3500;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1500;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3000;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3500;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2500;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3250;0;21514;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.4500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.4000;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.4250;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3750;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.4750;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.5250;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3750;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.4500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3000;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2750;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.0500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2250;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3000;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2000;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3000;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2750;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2000;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1750;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2750;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1250;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2000;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1500;0;19227;10;Produção;05/04/2023;08/04/2023
